camera,fileName,datetime,primavera_2025_label,pv_label,currently_in_duckdb,verdict_from_photo,notes
TC10_M3.2,10040097.JPG,2025-10-04 01:01:35,Lycalopex culpaeus,Turdus falcklandii,Turdus falcklandii,,
TC10_M3.2,10280167.JPG,2025-10-28 21:30:03,Lycalopex culpaeus,animal sin especie,animal sin especie,,
TC10_M3.2,11130182.JPG,2025-11-13 00:37:35,Lycalopex culpaeus,animal sin especie,animal sin especie,,
TC13_M16.2,11100093.JPG,2025-11-10 23:16:20,Sus scrofa,Lepus europaeus,Lepus europaeus,,
TC13_M16.2,11100094.JPG,2025-11-10 23:16:21,Sus scrofa,Lepus europaeus,Lepus europaeus,,
TC13_M16.2,11100095.JPG,2025-11-10 23:16:22,Sus scrofa,Lepus europaeus,Lepus europaeus,,
TC18_M15.2,07260004.JPG,2025-06-26 09:17:00,Canis lupus familiaris,Lepus europaeus,Lepus europaeus,,
TC18_M15.2,07260006.JPG,2025-06-26 09:17:02,Canis lupus familiaris,Lepus europaeus,Lepus europaeus,,
TC18_M15.2,10110077.JPG,2025-09-11 17:24:32,Canis lupus familiaris,Lepus europaeus,Lepus europaeus,,
TC18_M15.2,10120080.JPG,2025-09-12 03:51:37,Sus scrofa,Lepus europaeus,Lepus europaeus,,
TC18_M15.2,10120084.JPG,2025-09-12 03:52:34,Equus caballus,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,06260019.JPG,2025-06-26 03:37:34,Lycalopex culpaeus,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,06270031.JPG,2025-06-27 05:04:58,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,08030122.JPG,2025-08-03 22:26:02,Felis catus,animal sin especie,animal sin especie,,
TC19_M16.2,08080126.JPG,2025-08-08 19:54:03,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,08210135.JPG,2025-08-21 03:13:20,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,09200141.JPG,2025-09-20 23:21:27,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC19_M16.2,09290147.JPG,2025-09-29 19:01:01,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC20_M17.2,06280020.JPG,2025-06-28 01:46:56,Lepus europaeus,animal sin especie,animal sin especie,,
TC20_M17.2,07040121.JPG,2025-07-04 06:01:28,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC20_M17.2,08060164.JPG,2025-08-06 20:09:36,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC20_M17.2,08260218.JPG,2025-08-26 04:56:23,Puma concolor,Lepus europaeus,Lepus europaeus,,
TC20_M17.2,08300260.JPG,2025-08-30 04:53:11,animal sin especie,Lepus europaeus,Lepus europaeus,,
TC20_M17.2,10220338.JPG,2025-10-22 07:03:03,Puma concolor,animal sin especie,animal sin especie,,
TC20_M17.2,11140392.JPG,2025-11-14 05:05:04,Cervus elaphus,Puma concolor,Puma concolor,,
TC4_M5.2,09060102.JPG,2025-09-06 00:28:57,Lepus europaeus,Cervus elaphus,Cervus elaphus,,
TC4_M5.2,10040145.JPG,2025-10-04 08:53:42,Puma concolor,animal sin especie,animal sin especie,,
TC4_M5.2,10040146.JPG,2025-10-04 08:53:43,Puma concolor,animal sin especie,animal sin especie,,
TC4_M5.2,10100155.JPG,2025-10-10 09:05:57,Vanellus chilensis,Caracara plancus,Caracara plancus,,
TC4_M5.2,10150189.JPG,2025-10-15 06:28:37,Canis lupus familiaris,Cervus elaphus,Cervus elaphus,,
TC4_M5.2,11040253.JPG,2025-11-04 19:35:47,animal sin especie,Cervus elaphus,Cervus elaphus,,
